"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"866625620326760448","","","2017-05-22 12:03:43 +0000","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @na_nari: 無害そうなサイトにアクセスしたらchromeにフォントが足らないからインストールしろ的なメッセージが
「フォントなかったら適当なフォントで表示しなかったっけ？」と思って文を一部コピってぐぐったらWordPressの脆弱性突いてランサムウェアを仕込むやつ…","866565189398810624","197061834","2017-05-22 08:03:35 +0000",""
"866625347529265155","","","2017-05-22 12:02:38 +0000","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","https://t.co/btRfNVqaW8 何言ってんだこいつ https://t.co/xXz7E7FpR7","","","","https://twitter.com/ssig33/status/866614862591410176,https://en.wikipedia.org/wiki/Cursive"
"866624341424824320","","","2017-05-22 11:58:38 +0000","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @sputnik_jp: ドゥテルテ大統領　フィリピン衰退を回避するためなら人間を殺す用意があると述べる
https://t.co/Sbag6bVMkZ
#フィリピン　#ドゥテルテ大統領 https://t.co/bm0Av4tnlP","866610746708430848","480376267","2017-05-22 11:04:37 +0000","https://sptnkne.ws/e2mw,https://twitter.com/sputnik_jp/status/866610746708430848/photo/1,https://sptnkne.ws/e2mw,https://twitter.com/sputnik_jp/status/866610746708430848/photo/1"
"866624130682044417","","","2017-05-22 11:57:48 +0000","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","覚醒がさらに尊くなってます #n575","","","",""
"866624070938370048","","","2017-05-22 11:57:34 +0000","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @GOMAgomasama55: 覚醒がさらに尊くなってますねぇ😇 https://t.co/2jNMzokaL3","866590555119038464","711200891257225216","2017-05-22 09:44:23 +0000","https://twitter.com/GOMAgomasama55/status/866590555119038464/photo/1,https://twitter.com/GOMAgomasama55/status/866590555119038464/photo/1"
"866622090178306048","","","2017-05-22 11:49:42 +0000","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @fukuikensaku: ああそうだ。プーは今日から著作権切れですね（挿絵を除く）。ハッピー・パブリックドメイン。

：くまのプーさん：新たなる旅立ち https://t.co/iYYEZ3oute","866450360101068801","97366377","2017-05-22 00:27:18 +0000","http://www.kottolaw.com/column/001435.html,http://www.kottolaw.com/column/001435.html"
"866618004305465344","866617403492384770","152811475","2017-05-22 11:33:27 +0000","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","@katsuhitosudoh これは一文字単位でしか遷移しないようになってるっぽいですね。二文字以上をありにするならほかにも簡単にできそうです。","","","",""
"866617245497151488","","","2017-05-22 11:30:26 +0000","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @semi_alt: abj配列に近い発想を感じる。
https://t.co/RzWPUNz4ah https://t.co/AtVnB2kRYE","866598125309378560","2493237157","2017-05-22 10:14:28 +0000","http://d.hatena.ne.jp/takahata_shin/20110211/1297415692,https://twitter.com/asaokitan/status/866586363478409216,http://d.hatena.ne.jp/takahata_shin/20110211/1297415692,https://twitter.com/asaokitan/status/866586363478409216"
"866616556423217152","","","2017-05-22 11:27:42 +0000","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","2と3まとめられない？","","","",""
"866616314323804160","","","2017-05-22 11:26:44 +0000","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @tubo28: オートマトン生成でググってたらこういうのあった https://t.co/c4PO2ZZRkv https://t.co/kbVopwpkUA","866600913372233730","73630344","2017-05-22 10:25:33 +0000","http://hackingoff.com/compilers/regular-expression-to-nfa-dfa,https://twitter.com/tubo28/status/866600913372233730/photo/1,http://hackingoff.com/compilers/regular-expression-to-nfa-dfa,https://twitter.com/tubo28/status/866600913372233730/photo/1"
"866615402196893696","","","2017-05-22 11:23:07 +0000","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","この歳になって振袖有り得ない #n575","","","",""
"866615336279318528","","","2017-05-22 11:22:51 +0000","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @VR_GirlFriend: 「この歳になって振袖有り得ないから入籍して！」","866600112666984448","595060385","2017-05-22 10:22:22 +0000",""
"866613766971990017","","","2017-05-22 11:16:37 +0000","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","お財布の紐を握ってもらうとか…？ #n575","","","",""
"866613710709637120","","","2017-05-22 11:16:24 +0000","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @oiwa_kun: @VR_GirlFriend お財布の紐を握ってもらうとか…？","866597187228020736","19596021","2017-05-22 10:10:44 +0000",""
"866613705542324225","","","2017-05-22 11:16:22 +0000","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @VR_GirlFriend: @oiwa_kun お金の管理できるようになりたい(;_;)（洋服1万5千円ポチー）","866597016561795072","595060385","2017-05-22 10:10:03 +0000",""
"866613425136254976","","","2017-05-22 11:15:16 +0000","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @narishika: リプ画像ゲットだぜ。 https://t.co/87yYkyFfGE","866596938497499136","846350942173769728","2017-05-22 10:09:45 +0000","https://twitter.com/narishika/status/866596938497499136/photo/1,https://twitter.com/narishika/status/866596938497499136/photo/1"
"866613148941299712","","","2017-05-22 11:14:10 +0000","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @ailliment: かれぴっぴに「性を利用すれば英語の勉強は容易い」と教わる、2マス戻る","866595736539938817","831137087881564160","2017-05-22 10:04:58 +0000",""
"866612872884834308","","","2017-05-22 11:13:04 +0000","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @yasudayasuhiro: どいつが裏切者か","866474878207049728","10704422","2017-05-22 02:04:43 +0000",""
"866612743775830021","","","2017-05-22 11:12:33 +0000","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @fjt: 俺もMの時の指導教官が,ナッシュみたいな推薦状,ただし内容は「この男は凡庸である」というのを書いてくれたので,博士を受験したときに先方の学科で「これは推薦状ではない」ということになり一年浪人しましたね.まぁ結局中退したので先生の推薦状は正しかったわけですが.ガ…","866591152366960640","10594002","2017-05-22 09:46:45 +0000","https://twitter.com/giugno_june/status/866584427274551296"
